planet_name,num_stars,controv_flag,orbital_period,planet_semi-major_axis,planet_radius,planet_mass,eccentricity,insolation_flux,equi_temp,spectral_type,stellar_temp,stellar_radius,stellar_mass,distance
11 Com b,2,0,,1.21,,5434.7,,,,,,,2.6,93.1846
11 Com b,2,0,326.03,1.29,,6165.6,0.231,,,G8 III,4742,19,2.7,93.1846
11 Com b,2,0,323.21,1.178,,4914.89849,0.238,,,G8 III,4874,13.76,2.09,93.1846
11 UMi b,1,0,516.21997,1.53,,4684.8142,0.08,,,,4213,29.79,2.78,125.321
11 UMi b,1,0,,1.51,,3432.4,,,,,,,1.7,125.321
11 UMi b,1,0,516.22,1.54,,3337.07,0.08,,,K4 III,4340,24.08,1.8,125.321
14 And b,1,0,186.76,0.775,,1131.1513,0,,,K0 III,4888,11.55,1.78,75.4392
14 And b,1,0,,0.68,,1017,,,,,,,1.2,75.4392
14 And b,1,0,185.84,0.83,,1525.5,0,,,K0 III,4813,11,2.2,75.4392
14 Her b,1,0,1773.4,2.77,,1474.67,0.369,,,K0 V,,,,17.9323
14 Her b,1,0,1766,2.864,,1581.138,0.359,,,,5280,1,0.91,17.9323
14 Her b,1,0,1765.0389,2.774,,2559.47216,0.373,,,,,,0.91,17.9323
14 Her b,1,0,1773.40002,2.93,,1481.0878,0.37,,,,5338,0.93,0.9,17.9323
14 Her b,1,0,1796.4,2.8,,1506.45,0.338,,,,5255,,0.9,17.9323
14 Her b,1,0,1766.41,2.83,,1541.46777,0.3674,,,,5314.94,1,0.97,17.9323
14 Her b,1,0,1724,2.82,,1554.12,0.37,,,K0 V,,,1,17.9323
14 Her b,1,0,,2.73,,1440.663,0.357,,,,,,0.9,17.9323
16 Cyg B b,3,0,799.45,1.676,,556.83537,0.6832,,,,5711.97,1.16,0.98,21.1397
16 Cyg B b,3,0,798.5,1.681,,533.9544,0.681,,,,5674,,0.99,21.1397
16 Cyg B b,3,0,800.8,1.6,,476.7,0.634,,,G2.5 V,5760,,1,21.1397
16 Cyg B b,3,0,799.5,1.68,,533.93,0.689,,,,5747,1.13,1.03,21.1397
16 Cyg B b,3,0,799.5,1.68,,533.93,0.689,,,G3 V,,,,21.1397
16 Cyg B b,3,0,798.5,1.66,,565.7374,0.68,,,,5750,1.13,1.08,21.1397
17 Sco b,1,0,578.38,1.45,,1373.01872,0.06,,,K3 III,4157,25.92,1.22,124.953
18 Del b,2,0,993.3,2.6,,3273.5,0.08,,,G6 III,4979,8.5,2.3,76.222
18 Del b,2,0,982.85,2.476,,2926.24614,0.024,,,G6 III,4980,8.8,2.1,76.222
18 Del b,2,0,,2.54,,3127.3,,,,,,,2.1,76.222
1RXS J160929.1-210524 b,1,0,,330,,4000,,,1700,,4060,,0.85,139.135
1RXS J160929.1-210524 b,1,0,,330,,3000,,,1700,K7 V,4060,,0.85,139.135
1RXS J160929.1-210524 b,1,0,,330,,3000,,,1800,,3993,1.31,0.62,139.135
1RXS J160929.1-210524 b,1,0,,330,18.647,2543,,,1800,K7 V,4060,1.35,0.85,139.135
24 Boo b,1,0,30.33,0.194,,280.64248,0.032,,,G3 IV,4816,12.19,1.05,95.9863
24 Boo b,1,0,30.3506,0.19,,289.2253,0.042,,,G3 IV,4893,10.64,0.99,95.9863
24 Sex b,1,0,452.8,1.333,,632.46,0.09,,,,5098,4.9,1.54,72.0691
24 Sex c,1,0,883,2.08,,273.32,0.29,,,,5098,4.9,1.54,72.0691
2M0437 b,1,0,,118,,1271.31363,,,1450,M V,3100,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2,0,,84,,4131.79,,,,M5.5/M6,,,0.19,
2MASS J01225093-2439505 b,1,0,,,11.209,,,,1600,,3309,0.37,0.35,33.8281
2MASS J01225093-2439505 b,1,0,,52,,7786.5,,,,M3.5 V,3530,,0.4,33.8281
2MASS J02192210-3925225 b,1,0,,156,16.141,4417.837,,,,M6,3064,0.28,0.11,
2MASS J04414489+2301513 b,1,0,,15,,2383.6,,,,M8.5,,,0.02,
2MASS J12073346-3932539 b,1,0,,55,,1589.15,,,1250,M8,,,0.02,64.308
2MASS J12073346-3932539 b,1,0,,46,,1271,,,1150,,2825,0.22,0.19,64.308
2MASS J19383260+4603591 b,2,0,406,,,591.16084,0.33,,,,29564,0.2,0.48,396.332
2MASS J19383260+4603591 b,2,0,416,0.92,,603.877,,,,,,,0.48,396.332
2MASS J22362452+4751425 b,1,0,,230,,3972.875,,,,K7 V,4045,,0.6,69.5737
30 Ari B b,4,0,335.1,0.995,,3140.03,0.289,,,F6 V,6300,1.13,1.16,44.657
30 Ari B b,4,0,345.4,1.01,,2097.678,0.18,,,,,1.13,1.16,44.657
30 Ari B b,4,0,335.10001,0.99,,4392.4106,0.29,,,,6331,1.41,1.93,44.657
4 UMa b,1,0,270.27,0.877,,2511.48007,0.453,,,K1 III,4415,18.11,1.23,73.4603
4 UMa b,1,0,269.3,0.87,,2256.5,0.432,,,K1 III,4415,18.11,1.23,73.4603
42 Dra b,2,0,479.1,1.19,,1233.13,0.38,,,K1.5 III,4200,22.03,0.98,90.6545
47 UMa b,1,0,1076.6,2.1,,778.6835,0.012,,,G0 V,5882,,1.06,13.7967
47 UMa b,1,0,1078,2.1,,804.08,0.032,,,,5872,1.21,1.06,13.7967
47 UMa b,1,0,1100.8,2.11,,877.17,0.097,,,,,,,13.7967
47 UMa b,1,0,1083.2,2.11,,826.32,0.049,,,G1 V,,,,13.7967
47 UMa b,1,0,1076.6,2.059,,774.86566,0.016,,,,5829.16,1.14,1.01,13.7967
47 UMa c,1,0,2391,3.6,,171.621,0.098,,,,5872,1.21,1.06,13.7967
47 UMa c,1,0,7586,7.73,,425.87,0.005,,,G1 V,,,,13.7967
47 UMa c,1,0,2287,3.404,,157.96072,0.179,,,,5829.16,1.14,1.01,13.7967
47 UMa d,1,0,14002,11.6,,521.22,0.16,,,,5872,1.21,1.06,13.7967
47 UMa d,1,0,19000,13.8,,479.92089,0.38,,,,5829.16,1.14,1.01,13.7967
51 Eri b,3,0,,13.2,,635.66,,,700,F0 IV,,,1.75,29.7575
51 Eri b,3,0,11688,12,,,0.45,,,,7295,1.49,1.65,29.7575
51 Eri b,3,0,14965,14,,,0.21,,,,7295,1.49,1.65,29.7575
51 Peg b,1,0,4.23077,0.052,,148.738,0,,,,,,,15.4614
51 Peg b,1,0,4.2307969,0.05235,,147.47238,0.0042,,,,5760.76,1.19,1.07,15.4614
51 Peg b,1,0,4.230785,0.0527,,150.009,0.013,,,,5758,1.18,1.03,15.4614
51 Peg b,1,0,4.231,0.052,,146.2018,0,,,,,,1.04,15.4614
51 Peg b,1,0,4.2293,,,149.3801,0,,,,5773,1.29,,15.4614
55 Cnc b,2,0,14.648,0.11,,266.9772,0.051,,,G8 V,5200,,0.85,12.5855
55 Cnc b,2,0,14.465314,0.11339,,266.966,0.0023,,,,5250,0.96,0.9,12.5855
55 Cnc b,2,0,14.65152,0.115227,,263.9785,0.0034,,,,,,0.95,12.5855
55 Cnc b,2,0,14.65171,0.1162,,267.29369,0.0048,,,,5317.89,0.96,0.97,12.5855
55 Cnc b,2,0,14.65162,0.115,,261.881,0.014,,,,5250,0.96,0.9,12.5855
55 Cnc b,2,0,14.65126,0.1138,,260.61,0.0159,,,,5250,0.96,0.9,12.5855
55 Cnc b,2,0,14.653,0.115,,266.9772,0.02,,,G8 V,,,0.95,12.5855
55 Cnc b,2,0,14.67,0.115,,249.17872,0.0197,,,,,,0.95,12.5855
55 Cnc b,2,0,14.647,0.115,,289.21,0.03,,,,,,,12.5855
55 Cnc b,2,0,14.651,0.1134,,254.25,0.004,,,,5250,0.96,0.9,12.5855
55 Cnc b,2,0,14.6516,0.1134,,255.4,0,,,,5172,0.94,0.91,12.5855
55 Cnc b,2,0,14.6,0.113,,254.25,0,,700,K0 IV-V,,,,12.5855
55 Cnc c,2,0,44.4175,0.241376,,54.4738,0.02,,,,,,0.95,12.5855
55 Cnc c,2,0,44.3787,0.238,,52.44,0.053,,,,5250,0.96,0.9,12.5855
55 Cnc c,2,0,44.38,0.237,,52.44,0.07,,,,5250,0.96,0.9,12.5855
55 Cnc c,2,0,43.93,0.24,,68.96911,0.44,,,,,,0.95,12.5855
55 Cnc c,2,0,44.3446,0.24,,53.711,0.086,,,,5250,0.96,0.9,12.5855
55 Cnc c,2,0,44.3989,0.2373,,51.2,0.03,,,,5172,0.94,0.91,12.5855
55 Cnc c,2,0,44.373,0.23735,,56.6985,0.072,,,,5250,0.96,0.9,12.5855
55 Cnc c,2,0,44.3827,0.2432,,54.34866,0.048,,,,5317.89,0.96,0.97,12.5855
55 Cnc d,2,0,4909,5.47,,1121.89,0.02,,,,5250,0.96,0.9,12.5855
55 Cnc d,2,0,5574.2,5.957,,991.6,0.13,,,,5172,0.94,0.91,12.5855
55 Cnc d,2,0,5360,5.9,,1287.2115,0.16,,,G8 V,,,0.95,12.5855
55 Cnc d,2,0,4517.4,5.257,,1243.35096,0.327,,,,,,0.95,12.5855
55 Cnc d,2,0,4825,5.503,,1232.493,0.019,,,,,,0.95,12.5855
55 Cnc d,2,0,4545,5.28,,918.49,0.24,,,,,,,12.5855
55 Cnc d,2,0,5218,5.77,,1218.827,0.025,,,,5250,0.96,0.9,12.5855
55 Cnc d,2,0,5370,5.84,,1220.42,0.063,,,,5250,0.96,0.9,12.5855
55 Cnc d,2,0,4820,5.54,,908.98924,0.139,,,,5317.89,0.96,0.97,12.5855
55 Cnc d,2,0,4867,5.446,,1226.77,0.0269,,,,5250,0.96,0.9,12.5855
55 Cnc e,2,0,0.73654582,,1.915,,,2657.83,1831,,5250,0.96,,12.5855
55 Cnc e,2,0,0.73654625,,,,,,,,5234,0.94,0.91,12.5855
55 Cnc e,2,0,0.7365474,0.01544,1.875,7.99,0.05,,,,5172,0.94,0.91,12.5855
55 Cnc e,2,0,2.79674,0.0377,,7.4687,0.264,,,,5250,0.96,0.9,12.5855
55 Cnc e,2,0,0.737,,1.897,7.74,,,,,5172,0.95,0.87,12.5855
55 Cnc e,2,0,,,,,,,,,5250,0.96,0.9,12.5855
55 Cnc e,2,0,0.7365445,0.01583,,9.37594,0.036,,,,5317.89,0.96,0.97,12.5855
55 Cnc e,2,0,0.73654,0.01583,2,8.63,,,,G8 V,,0.94,0.96,12.5855
55 Cnc e,2,0,0.7365515,0.015691,,8.13928,0.04,,,,,,0.95,12.5855
55 Cnc e,2,0,0.7365474,,1.947,8.59,,,,,,0.98,1.01,12.5855
55 Cnc e,2,0,0.736546,0.01583,2.173,8.37,0,,,,5250,0.96,0.9,12.5855
55 Cnc e,2,0,0.73654604,,,,,,,,,,,12.5855
55 Cnc e,2,0,0.7365437,0.01544,2.08,7.81,0.061,,1958,,5234,0.94,0.91,12.5855
55 Cnc e,2,0,2.808,0.038,,14.30235,0.174,,,,,,0.95,12.5855
55 Cnc e,2,0,0.7365478,0.015439,,8.09479,0.028,,,,5250,0.96,0.9,12.5855
55 Cnc e,2,0,,0.01544,1.92,8.08,,,,,5250,0.96,0.9,12.5855
55 Cnc e,2,0,0.7365417,,,,,,,,,,,12.5855
55 Cnc e,2,0,0.736539,0.01544,1.91,8.08,,,,,5250,0.96,0.9,12.5855
55 Cnc f,2,0,260,0.781,,45.766,0.2,,,,5250,0.96,0.9,12.5855
55 Cnc f,2,0,260.91,0.7733,,47.0051,0.08,,,,5250,0.96,0.9,12.5855
55 Cnc f,2,0,261.2,0.77,,54.664,0.32,,,,5250,0.96,0.9,12.5855
55 Cnc f,2,0,262,0.788,,44.812,0.305,,,,,,0.95,12.5855
55 Cnc f,2,0,260.7,0.775,,44.812,0,,,,5250,0.96,0.9,12.5855
55 Cnc f,2,0,260.98,0.792,,46.87969,0.142,,,,5317.89,0.96,0.97,12.5855
55 Cnc f,2,0,259.88,0.7708,,47.8,0.08,,,,5172,0.94,0.91,12.5855
6 Lyn b,1,0,899,2.2,,762.8,0.134,,,K0 IV,4978,5.2,1.7,54.6599
6 Lyn b,1,0,874.774,2.18,,702.4043,0.125,,,,,5.2,1.82,54.6599
6 Lyn b,1,0,919.86,2.028,,597.83523,0.042,,,K0 IV,4941,4.94,1.32,54.6599
6 Lyn b,1,0,934.3,2.11,,638.8383,0.073,,,,4938,5.2,1.44,54.6599
61 Vir b,1,0,4.21487,0.04956,,5.11704,0.099,,,,5585.57,1.03,0.91,8.50332
61 Vir b,1,0,4.215,0.050201,,5.1,0.12,,,G5 V,5577,0.96,0.94,8.50332
61 Vir c,1,0,38.0957,0.2151,,16.1139,0.068,,,,5585.57,1.03,0.91,8.50332
61 Vir c,1,0,38.021,0.2175,,18.2,0.14,,,G5 V,5577,0.96,0.94,8.50332
61 Vir d,1,0,123.01,0.476,,22.9,0.35,,,G5 V,5577,0.96,0.94,8.50332
7 CMa b,1,0,796,1.93,,781.8618,0.22,,,,4794.52,4.91,,19.8101
7 CMa b,1,0,763,1.9,,826.3,0.14,,,K1 III,4792,2.3,1.52,19.8101
7 CMa b,1,0,735.1,1.758,,587.9855,0.06,,,,4826,4.87,1.34,19.8101
7 CMa c,1,0,996,2.153,,276.5121,0.08,,,,4826,4.87,1.34,19.8101
70 Vir b,1,0,116.689,0.456,,2084.88,0.397,,,,,,,17.9011
70 Vir b,1,0,116.6884,0.48,,2421.8646,0.4,,,,5531,1.84,1.14,17.9011
70 Vir b,1,0,116.69335,0.4765,,2297.89938,0.3989,,,,5481.86,1.92,1.06,17.9011
70 Vir b,1,0,116.688,0.481,,2357.02728,0.3988,,,,5495,1.89,1.09,17.9011
70 Vir b,1,0,116.6884,0.484,,2380.45,0.4007,,,,5545,,1.11,17.9011
70 Vir b,1,0,116.6926,0.481,,2351.942,0.399,,,,5439,1.94,1.09,17.9011
75 Cet b,2,0,691.9,2.1,,953.49,0.117,,,G3 III,4846,10.5,2.49,82.9613
75 Cet b,2,0,696.62,1.912,,787.89662,0.093,,,G3 III,4809,10.38,1.92,82.9613
75 Cet c,2,0,2051.62,3.929,,289.85951,0.023,,,G3 III,4809,10.38,1.92,82.9613
8 UMi b,1,0,93.4,0.49,,416.3573,0.06,,,,4847,10.3,1.44,162.552
8 UMi b,1,0,93.4,0.49,,476.745,0.06,,,K0,4847.4,9.9,1.8,162.552
81 Cet b,1,0,952.7,2.5,,1684.4,0.206,,,G5 III,4785,11,2.4,101.26
81 Cet b,1,0,,2.17,,1274.4,,,,,,,1.6,101.26
81 Cet b,1,0,1005.57,2.104,,1051.05854,0.037,,,G5 III,4734,11.21,1.23,101.26
91 Aqr b,3,0,181.4,0.7,,1017,0.027,,,K0 III,4665,11,1.4,44.0304
AB Aur b,1,0,,93.9,,2860.45566,0.4,,,,9770,,2.4,162.127
AB Pic b,1,0,,260,,4290.5,,,,K2 V,,,,50.0475
AF Lep b,1,0,8030,8.4,,1017.0509,0.24,,,F8 V,6130,1.25,1.2,26.8564
AF Lep b,1,0,7520,7.99,,1664.46737,0.47,,1400,F8 V,6100,1.25,1.2,26.8564
AF Lep b,1,0,9060,9.3,,1366.66215,0.32,,,F8 V,6140,,1.13,26.8564
AU Mic b,1,0,8.4629991,0.0645,,20.12,0.186,,,,,,0.5,9.7221
AU Mic b,1,0,8.4630004,0.0644,4.19,,0.12,,,,,0.75,,9.7221
AU Mic b,1,0,8.46321,,,17.1,,,,M1,3700,0.75,0.5,9.7221
AU Mic b,1,0,8.463,0.0645,4.07,17,0,,593,,3700,0.75,0.5,9.7221
AU Mic b,1,0,8.46321,0.066,4.203,57.2094,0.1,,,,3700,0.75,0.5,9.7221
AU Mic b,1,0,8.46308,0.0649,3.957,,0.00577,21.2,600,,3678,0.74,0.51,9.7221
AU Mic b,1,0,8.46321,,,,0,,,,,,,9.7221
AU Mic b,1,0,8.4631427,,,10.2,,,,,3665,0.82,0.6,9.7221
AU Mic b,1,0,,,4.027,,,76.64,755,,3588,0.7,,9.7221
AU Mic b,1,0,8.463,,,11.7,0.04,,,,3700,0.75,0.5,9.7221
AU Mic c,1,0,18.85882,,,14.2,,,,,3665,0.82,0.6,9.7221
AU Mic c,1,0,18.85969,0.1108,2.522,,0.00338,7.3,459,,3678,0.74,0.51,9.7221
AU Mic c,1,0,18.858991,0.1101,,9.6,,,,,,,0.5,9.7221
AU Mic c,1,0,18.859019,0.1101,3.24,13.6,0,,454,,3700,0.75,0.5,9.7221
AU Mic c,1,0,18.859019,,,22.2,0.041,,,,3700,0.75,0.5,9.7221
AU Mic c,1,0,18.858982,0.11,2.79,,0.13,,,,,0.75,,9.7221
AU Mic d,1,0,12.73596,,,1.053,0.00305,,,,3678,0.74,0.51,9.7221
BD+03 2562 b,1,0,481.9,1.3,,2034.112,0.2,,,,4095,32.35,1.14,1070.63
BD+14 4559 b,1,0,268.94,0.78,,330.5432,0.29,,,,4864,0.86,0.49,49.352
BD+14 4559 b,1,0,268.94,0.777,,467.19,0.29,,,K2 V,5008,0.95,0.86,49.352
BD+15 2375 b,1,0,153.22,0.576,,337.21763,0.001,,,,4649,8.95,1.08,768.045
BD+15 2940 b,1,0,137.48,0.539,,352.78,0.26,,,K0,4796,14.7,1.1,426.42
BD+20 2457 b,1,0,379.63,1.45,,6807.63,0.15,,,K2 II,4137,49,2.8,1539.71
BD+20 2457 b,1,0,379.63,1.05,,17668.1697,0.15,,,,4259,71.02,10.83,1539.71
BD+20 2457 c,1,0,621.99,2.01,,3963.17,0.18,,,K2 II,4137,49,2.8,1539.71
BD+20 274 b,1,0,578.2,1.3,,1334.886,0.21,,,K5 III,4296,17.3,0.8,1322.51
BD+20 594 b,1,0,41.688644,,2.355,,,,,,5703,0.96,0.96,179.461
BD+20 594 b,1,0,41.6855,0.241,2.23,16.3,0,,546,G,5766,0.93,0.96,179.461
BD+20 594 b,1,0,41.6855,,2.578,22.2481,0,,,,5766,1.08,1.67,179.461
BD+45 564 b,1,0,307.88,0.83,,432.24663,0.12,,,K1,5004,,0.81,53.622
BD+48 738 b,1,0,392.6,1,,289.2253,0.2,,,K0 III,4414,11,0.74,871.493
BD+48 740 b,1,0,733,1.7,,540.311,0.76,,,,4534,10.33,1.09,666.589
BD+49 828 b,1,0,2590,4.2,,508.5,0.35,,,K0,4943,7.6,1.52,442.042
BD+55 362 b,1,0,265.59,0.78,,228.83645,0.27,,,K3,5012,,0.91,52.5697
BD+60 1417 b,1,0,,1662,14.684,4767.4261,,,1303,K0,4993,0.8,1,44.9543
BD+63 1405 b,1,0,1198.48,2.06,,1258.60049,0.88,,,K0,5000,,0.82,38.0473
BD+63 1405 b,1,0,1230,2.115,,3305.41543,0.891,,,K0,5000,,0.82,38.0473
BD-00 4475 b,1,0,723.2,1.48,,7961.6016,0.39,,,G0,5040,,0.81,42.6402
BD-06 1339 b,1,1,3.8728,0.0428,,8.5,0,,,K7/M0 V,4324,,0.7,20.2695
BD-06 1339 c,1,0,125.94,0.435,,53,0.31,,,K7/M0 V,4324,,0.7,20.2695
BD-08 2823 b,1,0,5.6,0.06,,12.7132,0.15,,,,4816,0.71,0.5,41.3342
BD-08 2823 b,1,0,5.6,0.056,,14.4,0.15,,,K3 V,4746,,0.74,41.3342
BD-08 2823 c,1,0,237.6,0.68,,104,0.19,,,K3 V,4746,,0.74,41.3342
BD-10 3166 b,1,0,3.487,0.046,,152.55,0.05,,,K0 V,5400,,1.1,84.4069
BD-10 3166 b,1,0,3.48777,0.04,,187.5197,0.02,,,,5393,0.91,1.47,84.4069
BD-10 3166 b,1,0,3.48777,0.0452,,145.56,0.019,,,,5393,,1.01,84.4069
BD-10 3166 b,1,0,3.487905,0.045,,142.70495,0.022,,,,5382.64,0.97,1,84.4069
BD-11 4672 b,1,0,1634,2.36,,206.5895,0.05,,,,4550,0.64,0.65,27.1665
BD-11 4672 b,1,0,1667,2.28,,168.44,0.05,,,K7 V,4475,0.52,0.57,27.1665
BD-11 4672 c,1,0,74.2,0.3,,15.37,0.4,,,,4550,0.64,0.65,27.1665
BD-13 2130 b,1,0,714.3,2.1,,3368.998,0.21,,,,,,2.4,925.214
BD-13 2130 b,1,0,714.29999,1.66,,3108.3774,0.21,,,,4545,19.17,2.12,925.214
BD-17 63 b,1,0,655.6,1.34,,1620.9,0.54,,,K5 V,4714,0.69,0.74,34.4603
BD-17 63 b,1,0,655.59998,1.34,,905.8155,0.54,,,,4665,0.74,0.31,34.4603
BD-210397 b,1,0,1891,2.63,,214,0.1,0.02,,K7 V,4051,0.75,0.68,23.7324
BD-210397 c,1,0,6240,5.9,,1525.57635,0.43,,,K7 V,,,0.69,23.7324
BD-210397 c,1,0,6360,5.9,,759,0.1,0,,K7 V,4051,0.75,0.68,23.7324
CD Cet b,1,0,2.2907,0.0185,,3.95,,8.6,464,M5.0 V,3130,0.17,0.16,8.60715
CFBDSIR J145829+101343 b,1,0,10037.5,2.6,,3337.1,,,370,,580.5,,0.02,
CFHTWIR-Oph 98 b,1,0,8040000,200,20.849,2479.06157,,,1800,M9-L1,2320,0.24,0.01,
CHXR 73 b,1,0,,210,,3994.486,,,,M3.5,,,0.35,190.374
CI Tau c,1,0,25.2,0.17,,,0.58,,,,,,,157.998
COCONUTS-2 b,1,0,402000000,7506,12.442,2002.31896,,,434,M3 V,3406,0.39,0.37,10.8864
CT Cha b,1,0,,440,24.66,5403,,,2600,,,,,190.72
CoRoT-1 b,1,0,1.5089682,0.02752,19.223,390.9309,0.036,,,,6298,1.23,1.22,787.909
CoRoT-1 b,1,0,1.5089635,,20.594,,,2852.63,2036,,5950,1.29,,787.909
CoRoT-1 b,1,0,1.5089557,0.0261,16.589,359.1479,0,,,,5950,1.14,1.03,787.909
CoRoT-1 b,1,0,1.5089686,0.02536,17.385,327.3649,,,1915,,5950,1.13,0.95,787.909
CoRoT-1 b,1,0,1.50897655,0.0259,15.917,340.0781,0.071,,1834,,5950,,,787.909
CoRoT-1 b,1,0,1.50896877,,,,,,,,,,,787.909
CoRoT-1 b,1,0,1.5089557,,16.7,327.35,0,,1898,G0 V,5950,1.11,0.95,787.909
CoRoT-10 b,1,0,13.2406,0.1055,10.873,867.6759,0.524,,,,5075,0.79,0.89,338.386
CoRoT-10 b,1,0,13.2406,0.1055,10.87,874,0.53,,600,K1 V,5075,0.79,0.89,338.386
CoRoT-10 b,1,0,13.2406,0.106,10.548,883.5674,,,647,,5075,0.74,0.9,338.386
CoRoT-11 b,1,0,2.994325,0.04407,16.029,832.7146,0.36,,,,6440,1.37,1.27,655.037
CoRoT-11 b,1,0,2.99427803,,,,,,,F6 V,6440,1.37,1.27,655.037
CoRoT-11 b,1,0,,,,,,,,,6343,1.36,1.56,655.037
CoRoT-11 b,1,0,2.994325,0.04351,15.581,791.3967,0,,1715,,,1.33,1.23,655.037
CoRoT-11 b,1,0,2.99433,0.0436,16.03,740.51,0,,1657,F6 V,6440,1.37,1.27,655.037
CoRoT-11 b,1,0,2.99433,0.044,15.984,743.7222,,,1735,,6440,1.37,1.26,655.037
CoRoT-12 b,1,0,2.828042,0.04016,16.14,291.438,0.07,,1442,,5675,1.12,1.08,1126.37
CoRoT-12 b,1,0,2.828042,0.04013,16.141,290.81445,0.05,,,,5675,1.12,1.08,1126.37
CoRoT-12 b,1,0,2.828041,,,,,,,,5675,1.12,1.08,1126.37
CoRoT-12 b,1,0,2.82805268,0.0392,15.065,277.46559,,,1417,,,1.05,1,1126.37
CoRoT-12 b,1,0,2.828042,0.0394,15.132,281.91521,,,1410,,5675,1.05,1.02,1126.37
CoRoT-12 b,1,0,2.82803915,,17.76,,,661.13,1293,,5675,1.04,,1126.37
CoRoT-13 b,1,0,4.03515,,,,,,,G0 V,5945,1.01,1.09,1148.93
CoRoT-13 b,1,0,4.03504444,,12.533,,,546.53,1233,,5945,1.14,,1148.93
CoRoT-13 b,1,0,4.03519,0.051,14.034,416.99296,,,1432,,5945,1.27,1.09,1148.93
CoRoT-13 b,1,0,4.03519,0.051,9.92,415.704,0,,1700,G0 V,5945,1.01,1.09,1148.93
CoRoT-13 b,1,0,4.03519,0.05107,9.92,423.03173,0.067,,,,5945,1.01,1.09,1148.93
CoRoT-14 b,1,0,1.51214,0.027,12.22,2415.4,0,,1952,F9 V,6035,1.21,1.13,1744.6
CoRoT-14 b,1,0,1.51214,0.02691,12.218,2358.2986,0.036,,,,6040,1.21,1.13,1744.6
CoRoT-14 b,1,0,1.51214,0.02687,11.411,2437.7561,,,1936,,6035,1.19,1.12,1744.6
CoRoT-16 b,1,0,5.35227,0.0618,13.115,168.13207,0.37,,,,5650,1.19,1.1,732.409
CoRoT-16 b,1,0,5.35227,0.0618,13.11,170.032,0.33,,,G5 V,5650,1.19,1.1,732.409
CoRoT-17 b,1,0,3.7681,0.0461,11.43,772.29,0,,1626,G2 V,5740,1.59,1.04,1176.12
CoRoT-17 b,1,0,3.7681,0.0481,11.287,781.8618,,,1610,,5740,1.62,1.04,1176.12
CoRoT-17 b,1,0,3.7681,0.0481,11.433,765.9703,0.081,,,,5740,1.59,1.04,1176.12
CoRoT-18 b,1,0,1.9000693,0.0295,14.68,1102.82,0.08,,1550,G9 V,5440,1,0.95,764.889
CoRoT-18 b,1,0,1.9000769,,,,,,,G9 V,5440,1,0.95,764.889
CoRoT-18 b,1,0,1.90008625,,15.05,,,823.7,1366,,5440,0.93,,764.889
CoRoT-18 b,1,0,1.90009,0.0288,12.846,1048.839,,,1487,,,0.88,0.88,764.889
CoRoT-18 b,1,0,1.9000693,0.0295,14.684,1099.6918,0.025,,,,5440,1,0.95,764.889
CoRoT-18 b,1,0,1.9000693,0.0286,14.022,1039.3041,,,1490,,5440,0.92,0.86,764.889
CoRoT-19 b,1,0,3.89713,0.0518,14.46,352.78,0.047,,2000,F9 V,6090,1.65,1.21,790.663
CoRoT-19 b,1,0,3.89712026,,13.493,,,1103.81,1470,,6090,1.64,,790.663
CoRoT-19 b,1,0,3.8971379,,,,,,,F9 V,6090,1.65,1.21,790.663
CoRoT-19 b,1,0,3.89713,0.0512,13.339,346.4347,,,1630,,6090,1.58,1.18,790.663
CoRoT-19 b,1,0,3.89713,0.05166,14.46,367.09365,0.056,,,,6090,1.65,1.21,790.663
CoRoT-19 b,1,0,3.897131,,,,,,,F9 V,6090,1.65,1.21,790.663
CoRoT-2 b,2,0,1.7429964,0.0281,16.421,1051.973,0,,,,,,,213.283
CoRoT-2 b,2,0,1.7429975,,15.85,1052.0173,0,,1535,,5625,0.9,0.97,213.283
CoRoT-2 b,2,0,1.74299673,0.0281,16.432,1048.839,0.024,,,,5625,0.9,0.97,213.283
CoRoT-2 b,2,0,1.74301433,,16.923,,,932.91,1410,,5529,0.94,,213.283
CoRoT-2 b,2,0,1.7429935,0.02835,16.365,1134.6531,,,1521,,5598,0.9,1,213.283
CoRoT-2 b,2,0,1.742997,,,,,,,,5696,,,213.283
CoRoT-2 b,2,0,1.7429935,0.02798,16.432,1102.82,0.0143,,,,5625,0.91,0.96,213.283
CoRoT-2 b,2,0,1.7429935,0.02854,16.477,1150.5446,,,1548,,5696,0.91,1.02,213.283
CoRoT-2 b,2,0,1.74299673,,,,,,,,5529,0.94,0.97,213.283
CoRoT-2 b,2,0,1.74299609,,16.533,,,,,,5575,,,213.283
CoRoT-2 b,2,0,1.74299906,,,,,,,,,,,213.283
CoRoT-2 b,2,0,1.74299705,,,,,,,,5696,,,213.283
CoRoT-20 b,1,0,9.24318,0.0891,11.209,1315.8162,,,1024,,,1.16,1.1,844.061
CoRoT-20 b,1,0,9.24285,0.0902,9.42,1347.54,0.562,,1002,G2 V,5880,1.02,1.14,844.061
CoRoT-20 b,1,0,9.24285,0.0892,13.002,1608.2198,,,1100,,5880,1.34,1.11,844.061
CoRoT-20 b,1,0,9.24323029,,15.397,,,180.87,935,,5880,1.3,,844.061
CoRoT-20 b,1,0,9.24285,0.09,,1366.669,0.59,,,,,,1.14,844.061
